日期,渠道,软件ID,软件名称,PV,安全下载,普通下载,按钮3,按钮4,下载点击总数,调起,成功安装,下载/PV,调起/下载,安装成功率,安装整体转化,当天报活率,新装卸载率,次日留存率,七日留存率,新装卸载数,次日留存数,七人留存数,重复安装量,重复安装比例
2020-12-30,186,246,TeamViewer,137,99,0,0,0,99,72,71,72.26%,72.73%,98.61%,51.82%,0,0,,,0,0,0,0,0
2020-12-30,186,35,网易云音乐,3262,1994,0,0,0,1994,1226,1142,61.13%,61.48%,93.15%,35.01%,0,0,,,0,0,0,92,8.06%
2020-12-30,186,162,网易邮箱大师,131,93,5,2,1,101,83,82,74.81%,84.69%,98.80%,62.60%,0,0,,,0,0,0,0,0
2020-12-30,186,17,搜狗拼音输入法,188,157,7,3,3,170,117,110,87.23%,71.34%,94.02%,58.51%,0,0,,,0,0,0,7,6.36%
2020-12-30,186,60,全民K歌,930,674,57,23,29,783,429,398,78.60%,58.69%,92.77%,42.80%,0,0,,,0,0,0,22,5.53%
2020-12-30,186,518,雷电模拟器,721,509,0,0,0,509,323,310,70.60%,63.46%,95.98%,43.00%,0,0,,,0,0,0,12,3.87%
2020-12-30,186,527,Minecraft,216,160,0,0,0,160,94,89,74.07%,58.75%,94.68%,41.20%,0,0,,,0,0,0,7,7.87%
2020-12-30,186,531,Zoom会议客户端,44,44,0,0,0,44,30,28,100.00%,68.18%,93.33%,63.64%,0,0,,,0,0,0,0,0
2020-12-30,186,554,微师,91,73,0,0,0,73,45,43,80.22%,61.64%,95.56%,47.25%,0,0,,,0,0,0,0,0
2020-12-30,186,396,金山毒霸,13,12,0,3,2,17,9,9,92.31%,75.00%,100.00%,69.23%,0,0,,,0,0,0,0,0
2020-12-30,186,562,瞩目,68,58,1,2,0,61,45,42,86.76%,76.27%,93.33%,61.76%,0,0,,,0,0,0,0,0
2020-12-30,206,66,万能五笔,94,35,0,0,0,35,49,47,37.23%,140.00%,95.92%,50.00%,0,0,,,0,0,0,0,0
2020-12-30,206,17,搜狗拼音输入法,8322,6622,9,5,1,6637,4154,3872,79.68%,62.65%,93.21%,46.53%,0,0,,,0,0,0,93,2.40%
2020-12-30,206,41,搜狗五笔输入法,134,59,0,0,0,59,38,33,44.03%,64.41%,86.84%,24.63%,0,0,,,0,0,0,0,0
2020-12-30,206,399,wps2019,402,217,0,0,0,217,159,149,53.98%,73.27%,93.71%,37.06%,0,0,,,0,0,0,0,0
2020-12-30,206,64,金山打字通,1376,690,0,0,0,690,343,321,50.15%,49.71%,93.59%,23.33%,0,0,,,0,0,0,11,3.43%
2020-12-30,206,527,Minecraft,302,138,0,0,0,138,96,82,45.70%,69.57%,85.42%,27.15%,0,0,,,0,0,0,0,0
2020-12-30,216,48,光影魔术手,446,379,0,0,0,379,279,242,84.98%,73.61%,86.74%,54.26%,0,0,,,0,0,0,11,4.55%
2020-12-30,216,527,Minecraft,1323,811,0,0,0,811,548,477,61.30%,67.57%,87.04%,36.05%,0,0,,,0,0,0,18,3.77%
2020-12-30,216,617,C盘瘦身专家,1896,291,0,0,0,291,0,0,15.35%,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2020-12-30,216,512,向日葵控制端,2760,1915,0,0,0,1915,1276,1153,69.38%,66.63%,90.36%,41.78%,0,0,,,0,0,0,25,2.17%
2020-12-30,216,399,wps2019,16439,11649,0,0,0,11649,6994,6226,70.86%,60.04%,89.02%,37.87%,0,0,,,0,0,0,142,2.28%
2020-12-30,216,286,逍遥笔手写输入法,273,157,0,0,0,157,111,96,57.51%,70.70%,86.49%,35.16%,0,0,,,0,0,0,0,0
2020-12-30,216,552,whatsapp,22,18,0,0,0,18,18,15,81.82%,100.00%,83.33%,68.18%,0,0,,,0,0,0,0,0
2020-12-30,216,17,搜狗拼音输入法,7847,6801,21,5,5,6832,4825,4357,86.94%,70.73%,90.30%,55.52%,0,0,,,0,0,0,89,2.04%
2020-12-30,216,43,QQ拼音,131,112,0,0,0,112,85,80,85.50%,75.89%,94.12%,61.07%,0,0,,,0,0,0,0,0
2020-12-30,216,516,小鱼易连,110,91,0,0,0,91,81,71,82.73%,89.01%,87.65%,64.55%,0,0,,,0,0,0,0,0
2020-12-30,216,65,极点五笔,42,28,0,0,0,28,49,43,66.67%,175.00%,87.76%,102.38%,0,0,,,0,0,0,0,0
2020-12-30,216,31,酷我音乐,563,450,0,0,0,450,318,276,79.93%,70.67%,86.79%,49.02%,0,0,,,0,0,0,17,6.16%
2020-12-30,216,309,猎豹免费WiFi,133,110,0,0,0,110,90,81,82.71%,81.82%,90.00%,60.90%,0,0,,,0,0,0,0,0
2020-12-30,216,531,Zoom会议客户端,186,155,0,0,0,155,120,111,83.33%,77.42%,92.50%,59.68%,0,0,,,0,0,0,0,0
2020-12-30,216,28,暴风影音5,414,324,0,0,0,324,259,212,78.26%,79.94%,81.85%,51.21%,0,0,,,0,0,0,10,4.72%
2020-12-30,216,508,腾讯会议,231,193,0,0,0,193,132,111,83.55%,68.39%,84.09%,48.05%,0,0,,,0,0,0,6,5.41%
2020-12-30,216,184,优酷客户端,240,204,0,0,0,204,129,97,85.00%,63.24%,75.19%,40.42%,0,0,,,0,0,0,0,0
2020-12-30,216,342,WPS-word,4358,3243,0,0,0,3243,1811,1604,74.41%,55.84%,88.57%,36.81%,0,0,,,0,0,0,38,2.37%
2020-12-30,216,29,美图秀秀,1150,732,0,0,0,732,491,440,63.65%,67.08%,89.61%,38.26%,0,0,,,0,0,0,15,3.41%
2020-12-30,216,343,WPS-Excel,5251,3806,0,0,0,3806,2217,1964,72.48%,58.25%,88.59%,37.40%,0,0,,,0,0,0,40,2.04%
2020-12-30,216,20,驱动精灵,5410,4392,0,0,0,4392,3516,3220,81.18%,80.05%,91.58%,59.52%,0,0,,,0,0,0,64,1.99%
