网页转化,下载器转化,新装和卸载,会员支付,鱼干支付,合计付费
日期,渠道,计划,网页展示,网页点击,点击率,下载器展示,调起率,点击极速安装,安装率,安装成功,成功率,安装成功/网页展示,新装,卸载,卸载率,会员支付人数,会员支付金额,客单价,付费率,鱼干支付人数,鱼干支付金额,客单价,付费率,总客单价,ARPU值
2021-01-03,1002,39,14,5,35.71%,2,40.00%,2,100.00%,2,100.00%,14.29%,2,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,162,3,2,66.67%,1,50.00%,0,0.00%,0,None,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,69,9,4,44.44%,1,25.00%,0,0.00%,1,None,11.11%,1,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,93,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,104,12,6,50.00%,2,33.33%,0,0.00%,2,None,16.67%,2,1,50.00%,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,147,4,1,25.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,76,22,13,59.09%,8,61.54%,0,0.00%,7,None,31.82%,5,1,20.00%,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,41,100,32,32.00%,12,37.50%,0,0.00%,11,None,11.00%,12,4,33.33%,1,9.0,9.00,8.33%,None,None,None,None,None,None
2021-01-03,1002,47,6,4,66.67%,1,25.00%,0,0.00%,1,None,16.67%,1,1,100.00%,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,61,3,2,66.67%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,26,65,36,55.38%,28,77.78%,1,3.57%,26,"2,600.00%",40.00%,27,8,29.63%,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,235,41,19,46.34%,11,57.89%,0,0.00%,10,None,24.39%,9,2,22.22%,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,70,5,1,20.00%,1,100.00%,0,0.00%,1,None,20.00%,1,1,100.00%,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,73,2,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,238,27,9,33.33%,7,77.78%,0,0.00%,7,None,25.93%,7,1,14.29%,1,9.0,9.00,14.29%,None,None,None,None,None,None
2021-01-03,1002,17,380,192,50.53%,110,57.29%,5,4.55%,98,"1,960.00%",25.79%,98,28,28.57%,4,96.0,24.00,4.08%,1,19.0,19.00,1.02%,23.00,1.17
2021-01-03,1002,9,193,81,41.97%,57,70.37%,0,0.00%,52,None,26.94%,45,12,26.67%,1,9.0,9.00,2.22%,None,None,None,None,None,None
2021-01-03,1002,91,2,1,50.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,64,1,1,100.00%,1,100.00%,0,0.00%,1,None,100.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,75,7,2,28.57%,1,50.00%,0,0.00%,1,None,14.29%,1,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,12,37,21,56.76%,13,61.90%,10,76.92%,10,100.00%,27.03%,8,1,12.50%,1,9.0,9.00,12.50%,None,None,None,None,None,None
2021-01-03,1002,25,7,3,42.86%,4,133.33%,2,50.00%,5,250.00%,71.43%,2,1,50.00%,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,224,109,72,66.06%,51,70.83%,41,80.39%,41,100.00%,37.61%,34,12,35.29%,2,78.0,39.00,5.88%,None,None,None,None,None,None
2021-01-03,1002,35,39,22,56.41%,15,68.18%,0,0.00%,15,None,38.46%,15,4,26.67%,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,20,47,33,70.21%,21,63.64%,1,4.76%,21,"2,100.00%",44.68%,20,6,30.00%,2,18.0,9.00,10.00%,None,None,None,None,None,None
2021-01-03,1002,65,9,5,55.56%,2,40.00%,0,0.00%,2,None,22.22%,2,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,115,10,8,80.00%,3,37.50%,2,66.67%,2,100.00%,20.00%,2,2,100.00%,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,46,10,5,50.00%,3,60.00%,0,0.00%,2,None,20.00%,2,1,50.00%,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,161,4,2,50.00%,1,50.00%,1,100.00%,1,100.00%,25.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,4,55,34,61.82%,27,79.41%,1,3.70%,24,"2,400.00%",43.64%,23,6,26.09%,None,None,None,None,2,29.0,14.50,8.70%,None,None
